CurrentTime,index,name,selectROI,Vx,Vy,row,col
0.8,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.8,8,out-8-V,tile-8,7.68949,0,2,3
0.8,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.833333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.833333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
0.833333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.833333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
0.833333333333333,5,out-5-V,tile-5,0.147914,10.82741,2,2
0.833333333333333,6,out-6-V,tile-6,0,7.689483,3,2
0.833333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.833333333333333,8,out-8-V,tile-8,7.68949,0,2,3
0.833333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.866666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.866666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
0.866666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.866666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
0.866666666666667,5,out-5-V,tile-5,0.2242459,13.28064,2,2
0.866666666666667,6,out-6-V,tile-6,0,7.689483,3,2
0.866666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.866666666666667,8,out-8-V,tile-8,7.68949,0,2,3
0.866666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.9,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.9,2,out-2-V,tile-2,-7.689487,0,2,1
0.9,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.9,4,out-4-V,tile-4,0,-7.689483,1,2
0.9,5,out-5-V,tile-5,0.2242459,13.28064,2,2
0.9,6,out-6-V,tile-6,0,7.689483,3,2
0.9,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.9,8,out-8-V,tile-8,7.68949,0,2,3
0.9,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.933333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.933333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
0.933333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.933333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
0.933333333333333,5,out-5-V,tile-5,0.2242459,13.28064,2,2
0.933333333333333,6,out-6-V,tile-6,0,7.689483,3,2
0.933333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.933333333333333,8,out-8-V,tile-8,7.68949,0,2,3
0.933333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.966666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.966666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
0.966666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.966666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
0.966666666666667,5,out-5-V,tile-5,0.3111594,15.72472,2,2
0.966666666666667,6,out-6-V,tile-6,0,7.689483,3,2
0.966666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.966666666666667,8,out-8-V,tile-8,7.68949,0,2,3
0.966666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
1,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1,2,out-2-V,tile-2,-7.689487,0,2,1
1,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1,4,out-4-V,tile-4,0,-7.689483,1,2
1,5,out-5-V,tile-5,0.307159,15.73073,2,2
1,6,out-6-V,tile-6,0,7.689483,3,2
1,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1,8,out-8-V,tile-8,7.68949,0,2,3
1,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.03333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.03333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
1.03333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.03333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
1.03333333333333,5,out-5-V,tile-5,0.2986488,15.72909,2,2
1.03333333333333,6,out-6-V,tile-6,0,7.689483,3,2
1.03333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.03333333333333,8,out-8-V,tile-8,7.68949,0,2,3
1.03333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.06666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.06666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
1.06666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.06666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
1.06666666666667,5,out-5-V,tile-5,0.3764117,18.17652,2,2
1.06666666666667,6,out-6-V,tile-6,0,7.689483,3,2
1.06666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.06666666666667,8,out-8-V,tile-8,7.68949,0,2,3
1.06666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.1,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.1,2,out-2-V,tile-2,-7.689487,0,2,1
1.1,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.1,4,out-4-V,tile-4,0,-7.689483,1,2
1.1,5,out-5-V,tile-5,0.3757036,18.17651,2,2
1.1,6,out-6-V,tile-6,0,7.689483,3,2
1.1,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.1,8,out-8-V,tile-8,7.68949,0,2,3
1.1,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.13333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.13333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
1.13333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.13333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
1.13333333333333,5,out-5-V,tile-5,0.3757036,18.17651,2,2
1.13333333333333,6,out-6-V,tile-6,0,7.689483,3,2
1.13333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.13333333333333,8,out-8-V,tile-8,7.68949,0,2,3
1.13333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.16666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.16666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
1.16666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.16666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
1.16666666666667,5,out-5-V,tile-5,0.4451463,20.6287,2,2
1.16666666666667,6,out-6-V,tile-6,0,7.689483,3,2
1.16666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.16666666666667,8,out-8-V,tile-8,7.68949,0,2,3
1.16666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.2,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.2,2,out-2-V,tile-2,-7.689487,0,2,1
1.2,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.2,4,out-4-V,tile-4,0,-7.689483,1,2
1.2,5,out-5-V,tile-5,0.1716482,11.78455,2,2
1.2,6,out-6-V,tile-6,0,7.689483,3,2
1.2,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.2,8,out-8-V,tile-8,7.68949,0,2,3
1.2,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.23333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.23333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
1.23333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.23333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
1.23333333333333,5,out-5-V,tile-5,0.1715645,11.78457,2,2
1.23333333333333,6,out-6-V,tile-6,0,7.689483,3,2
1.23333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.23333333333333,8,out-8-V,tile-8,7.68949,0,2,3
1.23333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.26666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.26666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
1.26666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.26666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
1.26666666666667,5,out-5-V,tile-5,0.2480372,14.23802,2,2
1.26666666666667,6,out-6-V,tile-6,0,7.689483,3,2
1.26666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.26666666666667,8,out-8-V,tile-8,7.68949,0,2,3
1.26666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.3,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.3,2,out-2-V,tile-2,-7.689487,0,2,1
1.3,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.3,4,out-4-V,tile-4,0,-7.689483,1,2
1.3,5,out-5-V,tile-5,0.2480372,14.23802,2,2
1.3,6,out-6-V,tile-6,0,7.689483,3,2
1.3,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.3,8,out-8-V,tile-8,7.68949,0,2,3
1.3,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.33333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.33333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
1.33333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.33333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
1.33333333333333,5,out-5-V,tile-5,0.2480372,14.23802,2,2
1.33333333333333,6,out-6-V,tile-6,0,7.689483,3,2
1.33333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.33333333333333,8,out-8-V,tile-8,7.68949,0,2,3
1.33333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.36666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.36666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
1.36666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.36666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
1.36666666666667,5,out-5-V,tile-5,0.330137,16.6985,2,2
1.36666666666667,6,out-6-V,tile-6,0,7.689483,3,2
1.36666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.36666666666667,8,out-8-V,tile-8,7.68949,0,2,3
1.36666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.4,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.4,2,out-2-V,tile-2,-7.689487,0,2,1
1.4,3,out-3-V,tile-3,-7.475595,7.47559,3,1
1.4,4,out-4-V,tile-4,0,-7.689483,1,2
1.4,5,out-5-V,tile-5,0.330137,16.6985,2,2
1.4,6,out-6-V,tile-6,0,7.689483,3,2
1.4,7,out-7-V,tile-7,7.475597,-7.47559,1,3
1.4,8,out-8-V,tile-8,7.68949,0,2,3
1.4,9,out-9-V,tile-9,7.515259,7.515254,3,3
1.43333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
1.43333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
